date,nav,fund,proj_id
2024-07-03,12.2631,K-US500X,M0257_2564
2024-07-05,12.3276,K-US500X,M0257_2564
2024-07-08,12.3359,K-US500X,M0257_2564
2024-07-09,12.3436,K-US500X,M0257_2564
2024-07-10,12.4576,K-US500X,M0257_2564
2024-07-11,12.3455,K-US500X,M0257_2564
2024-07-12,12.4172,K-US500X,M0257_2564
2024-07-15,12.4489,K-US500X,M0257_2564
2024-07-16,12.5182,K-US500X,M0257_2564
2024-07-17,12.3346,K-US500X,M0257_2564
2024-07-18,12.2393,K-US500X,M0257_2564
2024-07-19,12.1665,K-US500X,M0257_2564
2024-07-23,12.2669,K-US500X,M0257_2564
2024-07-24,11.9882,K-US500X,M0257_2564
2024-07-25,11.9249,K-US500X,M0257_2564
2024-07-26,12.0523,K-US500X,M0257_2564
2024-07-30,11.9898,K-US500X,M0257_2564
2024-07-31,12.1611,K-US500X,M0257_2564
2024-08-01,12.0025,K-US500X,M0257_2564
2024-08-02,11.7701,K-US500X,M0257_2564
2024-08-05,11.4281,K-US500X,M0257_2564
2024-08-06,11.5399,K-US500X,M0257_2564
2024-08-07,11.4659,K-US500X,M0257_2564
2024-08-08,11.7127,K-US500X,M0257_2564
2024-08-09,11.7606,K-US500X,M0257_2564
2024-08-13,11.9478,K-US500X,M0257_2564
2024-08-14,11.9793,K-US500X,M0257_2564
2024-08-15,12.1772,K-US500X,M0257_2564
2024-08-16,12.2093,K-US500X,M0257_2564
2024-08-19,12.2959,K-US500X,M0257_2564
2024-08-20,12.2691,K-US500X,M0257_2564
2024-08-21,12.3136,K-US500X,M0257_2564
2024-08-22,12.2154,K-US500X,M0257_2564
2024-08-23,12.3369,K-US500X,M0257_2564
2024-08-26,12.289,K-US500X,M0257_2564
2024-08-27,12.3153,K-US500X,M0257_2564
2024-08-28,12.2431,K-US500X,M0257_2564
2024-08-29,12.245,K-US500X,M0257_2564
2024-08-30,12.35,K-US500X,M0257_2564
2024-09-03,12.1203,K-US500X,M0257_2564
2024-09-04,12.0944,K-US500X,M0257_2564
2024-09-05,12.0458,K-US500X,M0257_2564
2024-09-06,11.8598,K-US500X,M0257_2564
2024-09-09,11.9903,K-US500X,M0257_2564
2024-09-10,12.0262,K-US500X,M0257_2564
2024-09-11,12.1458,K-US500X,M0257_2564
2024-09-12,12.2493,K-US500X,M0257_2564
2024-09-13,12.2896,K-US500X,M0257_2564
2024-09-16,12.3009,K-US500X,M0257_2564
2024-09-17,12.3046,K-US500X,M0257_2564
2024-09-18,12.2715,K-US500X,M0257_2564
2024-09-19,12.4569,K-US500X,M0257_2564
2024-09-20,12.4263,K-US500X,M0257_2564
2024-09-23,12.4527,K-US500X,M0257_2564
2024-09-24,12.4795,K-US500X,M0257_2564
2024-09-25,12.4361,K-US500X,M0257_2564
2024-09-26,12.4811,K-US500X,M0257_2564
2024-09-27,12.4555,K-US500X,M0257_2564
2024-09-30,12.5,K-US500X,M0257_2564
2024-10-01,12.4054,K-US500X,M0257_2564
2024-10-02,12.4149,K-US500X,M0257_2564
2024-10-03,12.4023,K-US500X,M0257_2564
2024-10-04,12.5059,K-US500X,M0257_2564
2024-10-07,12.4196,K-US500X,M0257_2564
2024-10-08,12.5317,K-US500X,M0257_2564
2024-10-09,12.6107,K-US500X,M0257_2564
2024-10-10,12.595,K-US500X,M0257_2564
2024-10-11,12.6554,K-US500X,M0257_2564
2024-10-15,12.6541,K-US500X,M0257_2564
2024-10-16,12.7092,K-US500X,M0257_2564
2024-10-17,12.7101,K-US500X,M0257_2564
2024-10-18,12.7495,K-US500X,M0257_2564
2024-10-21,12.7387,K-US500X,M0257_2564
2024-10-22,12.7337,K-US500X,M0257_2564
2024-10-24,12.6522,K-US500X,M0257_2564
2024-10-25,12.6481,K-US500X,M0257_2564
2024-10-28,12.6834,K-US500X,M0257_2564
2024-10-29,12.6996,K-US500X,M0257_2564
2024-10-30,12.6576,K-US500X,M0257_2564
2024-10-31,12.4246,K-US500X,M0257_2564
2024-11-01,12.4778,K-US500X,M0257_2564
2024-11-04,12.4491,K-US500X,M0257_2564
2024-11-05,12.5865,K-US500X,M0257_2564
2024-11-06,12.9047,K-US500X,M0257_2564
2024-11-07,13.0082,K-US500X,M0257_2564
2024-11-08,13.0575,K-US500X,M0257_2564
2024-11-12,13.0539,K-US500X,M0257_2564
2024-11-13,13.0634,K-US500X,M0257_2564
2024-11-14,12.9836,K-US500X,M0257_2564
2024-11-15,12.8188,K-US500X,M0257_2564
2024-11-18,12.8687,K-US500X,M0257_2564
2024-11-19,12.8999,K-US500X,M0257_2564
2024-11-20,12.9116,K-US500X,M0257_2564
2024-11-21,12.974,K-US500X,M0257_2564
2024-11-22,13.0165,K-US500X,M0257_2564
2024-11-25,13.0547,K-US500X,M0257_2564
2024-11-26,13.1335,K-US500X,M0257_2564
2024-11-27,13.0848,K-US500X,M0257_2564
2024-11-29,13.153,K-US500X,M0257_2564
2024-12-02,13.1861,K-US500X,M0257_2564
2024-12-03,13.1805,K-US500X,M0257_2564
2024-12-04,13.2578,K-US500X,M0257_2564
2024-12-06,13.2474,K-US500X,M0257_2564
2024-12-09,13.1696,K-US500X,M0257_2564
2024-12-11,13.2251,K-US500X,M0257_2564
2024-12-12,13.153,K-US500X,M0257_2564
2024-12-13,13.1572,K-US500X,M0257_2564
2024-12-16,13.2078,K-US500X,M0257_2564
2024-12-17,13.1503,K-US500X,M0257_2564
2024-12-18,12.7736,K-US500X,M0257_2564
2024-12-19,12.7705,K-US500X,M0257_2564
2024-12-20,12.9047,K-US500X,M0257_2564
2024-12-23,12.981,K-US500X,M0257_2564
2024-12-24,13.1179,K-US500X,M0257_2564
2024-12-26,13.1106,K-US500X,M0257_2564
2024-12-27,12.964,K-US500X,M0257_2564
2024-12-30,12.8244,K-US500X,M0257_2564
2025-01-02,12.7501,K-US500X,M0257_2564
2025-01-03,12.9078,K-US500X,M0257_2564
2025-01-06,12.9895,K-US500X,M0257_2564
2025-01-07,12.8424,K-US500X,M0257_2564
2025-01-08,12.8593,K-US500X,M0257_2564
2025-01-10,12.6674,K-US500X,M0257_2564
2025-01-13,12.689,K-US500X,M0257_2564
2025-01-14,12.7015,K-US500X,M0257_2564
2025-01-15,12.929,K-US500X,M0257_2564
2025-01-16,12.8982,K-US500X,M0257_2564
2025-01-17,13.0124,K-US500X,M0257_2564
2025-01-21,13.1116,K-US500X,M0257_2564
2025-01-22,13.1764,K-US500X,M0257_2564
2025-01-23,13.2533,K-US500X,M0257_2564
2025-01-24,13.201,K-US500X,M0257_2564
2025-01-27,13.0199,K-US500X,M0257_2564
2025-01-28,13.1329,K-US500X,M0257_2564
2025-01-29,13.0703,K-US500X,M0257_2564
2025-01-30,13.1324,K-US500X,M0257_2564
2025-01-31,13.0629,K-US500X,M0257_2564
2025-02-03,12.9901,K-US500X,M0257_2564
2025-02-04,13.0691,K-US500X,M0257_2564
2025-02-05,13.1106,K-US500X,M0257_2564
2025-02-06,13.1597,K-US500X,M0257_2564
2025-02-07,13.04,K-US500X,M0257_2564
2025-02-10,13.1313,K-US500X,M0257_2564
2025-02-11,13.1444,K-US500X,M0257_2564
2025-02-13,13.228,K-US500X,M0257_2564
2025-02-14,13.2197,K-US500X,M0257_2564
2025-02-18,13.2563,K-US500X,M0257_2564
2025-02-19,13.2862,K-US500X,M0257_2564
2025-02-20,13.234,K-US500X,M0257_2564
2025-02-21,13.0144,K-US500X,M0257_2564
